,mean RSSI (dBm),Path ground distance (meters),Path angle (degrees),Mean percent canopy (percent),Vegetation variability (percent),Terrain complexity (meters),Source canopy (percent),Receiver canopy (percent)
0,-92.15709686,288.1833191,5.559191601,37.2142868,6.148514748,8.180110931,38,41
1,-89.90288544,214.0867933,2.984403597,35.33333206,11.6847477,7.516983986,38,45
2,-70.12578583,154.3180804,10.87482382,41.33333206,4.450788975,9.591742516,38,37
3,-92.92453766,292.1600653,6.376272827,37.48275757,5.816360474,9.042606354,38,41
4,-77.79704285,84.19544846,14.9703293,52.375,10.92752075,8.253193855,38,49
5,-86.8282547,217.0863297,10.35905568,42.80952454,5.895922661,11.71981144,38,37
6,-72.43824005,78.28651835,5.500708986,44.20000076,3.705851316,3.081242323,38,44
7,-84.73233795,116.8148958,10.70882158,37.25,12.9973774,8.1571455,38,21
8,-92.34854889,294.5112926,5.239837252,38.32143021,10.14726257,11.50092125,38,46
9,-81.80597687,169.44419,7.914878912,41.31818008,3.029794216,8.309375763,38,41
10,-90.79093933,199.8441751,3.645664248,18.90909004,2.706413746,4.127385616,20,26
11,-92.2545166,544.1591305,6.881147383,17.984375,6.722367764,19.1593914,20,24
12,-85.71785736,65.60951163,13.70327669,8.5,7.540367603,5.392064571,20,0
13,-78.79412842,776.104897,19.05542372,27.64772797,11.07346439,84.08124542,20,26
14,-78.73093414,776.5872288,19.04313244,27.64772797,11.07346439,84.08124542,20,26
15,-88.61677551,113.328215,10.84737936,7.416666508,6.487166882,6.894382,20,7
16,-90.94311523,143.1279975,5.150290425,18.5,1.549193382,3.94371891,20,19
17,-79.8693924,187.8581447,6.856924532,20.29411697,9.668019295,7.193935871,34,16
18,-88.40447235,216.191185,7.462447916,28.31999969,20.43224525,8.400517464,34,0
19,-88.96063232,758.8208279,1.727920958,44.98333359,18.91684914,14.16911221,34,43
20,-61.66742706,16.46120781,10.24623267,34,0,1.531491399,34,34
21,-78.55456543,112.128922,0.918832617,39,12.68857765,0.77262032,34,58
22,-86.9135437,132.8889948,0.893135826,41.92307663,13.60429764,1.027145863,34,58
23,-86.27667999,387.95725,5.525396848,30.95744705,17.58452606,10.98265743,34,47
24,-79.65676117,82.19264004,1.462246594,33.375,9.694438934,0.698819339,34,52
25,-89.60107422,130.0670793,2.449251484,37.76922989,9.444168091,1.607820272,34,49
26,-91.31495667,199.8441751,3.645664248,18.90909004,2.706413746,4.127385616,26,20
27,-83.99707794,119.8065246,14.47451189,27,3.302891254,9.737967491,26,22
28,-89.34347534,200.0601918,3.641722498,18.90909004,2.706413746,4.127385616,26,20
29,-78.09106445,235.6574021,6.88496807,14.55172443,9.30662632,8.537236214,26,0
30,-66.13258362,56.99014253,0.141870214,21.7142849,5.468524456,1.178701997,26,19
31,-63.26021194,59.66211577,6.488637603,33.5,11.30928802,2.516041994,19,54
32,-90.60877991,480.2062554,3.131886998,52.48888779,12.48384857,31.43330574,19,59
33,-85.34039307,51.82156585,9.664471302,26.7142849,9.621404648,3.020362616,19,37
34,-87.71076202,516.8072274,0.395419463,52.63076782,15.97612381,27.33524513,19,53
35,-91.04948425,117.2356553,13.57476271,39.54545593,14.44550896,8.769846916,19,60
36,-83.00343323,471.1443144,2.748037209,51.41666794,17.87934303,26.39378929,19,62
37,-87.25508881,76.13838701,11.71344879,25.10000038,5.173651218,5.163035393,19,27
38,-77.12258911,293.2604741,1.396955524,42.89655304,5.942250729,12.33372784,41,39
39,-90.56179047,130.9574697,13.5644345,37.73333359,9.490345955,9.361272812,41,17
40,-76.00997925,248.2373343,3.987911932,45.11538315,9.713194847,12.04658604,41,38
41,-84.54831696,306.1063026,5.274607789,37.38709641,11.27143097,14.68348789,41,46
42,-71.71060944,52.22172538,20.03387574,35.8571434,2.267786741,6.196919918,41,35
43,-78.27996826,268.0403581,2.202103715,44.85185242,9.622504234,12.14221954,41,38
44,-91.70347595,219.5102523,1.300860564,44.77777863,8.565014839,3.477421045,41,57
45,-92.28533936,426.8326054,4.915921768,47.25,6.882717133,20.83674049,41,52
46,-84.19363403,194.4751725,12.1525344,41.84999847,8.839355469,15.64349365,41,39
47,-84.62600708,282.5603552,0.251339075,4.71875,4.854225636,3.407493114,11,0
48,-79.48765564,154.5820883,12.17406474,7.800000191,4.073017597,10.23456573,11,0
49,-91.48895264,515.8466873,7.57922016,2.783333302,4.654473782,27.04648018,11,17
50,-86.52387238,520.9944633,9.595686953,8.074073792,12.41248894,32.54391861,11,25
51,-85.09905243,227.7070584,12.85162132,3.086956501,4.010362148,15.71636868,11,0
52,-83.83062744,221.1264914,13.60271842,7.076922894,4.127208233,16.86533737,11,0
53,-91.13140869,516.8382076,9.67359117,8.074073792,12.41248894,32.54391861,11,25
54,-82.10001373,182.4702983,0.36053576,6.818181992,4.382175446,2.960558176,11,0
55,-91.7484436,518.3822695,12.32068438,8.565217018,13.46378231,38.17641068,11,55
56,-90.01824951,249.8826815,2.552263021,6.615384579,4.570137024,3.850312471,11,8
57,-75.28759003,192.9885396,9.424386629,5.440000057,5.385783672,10.615798,11,12
58,-81.63941956,176.5776019,13.6936403,7.727272511,3.881357431,13.11747932,11,7
59,-78.99330902,160.8415279,4.362055442,1.857142806,3.496937513,3.587014675,11,7
60,-75.2286377,189.5701933,0.566267317,6.478260994,4.480965614,3.102584839,11,0
61,-87.80438995,237.2661201,5.886421012,3.870967627,4.978232384,10.28362083,11,0
62,-55.76629257,18.34853609,9.445701748,5.5,7.7781744,2.129261494,11,0
63,-79.25461578,225.1664355,1.093261412,5.518518448,4.74236536,3.517578125,11,0
64,-79.82234955,219.5787232,13.32170397,2.849999905,4.055860043,16.22084999,11,0
65,-64.39867401,48.4690328,7.787037983,55,10.95445156,2.425399065,63,39
66,-74.91706085,131.0933863,11.26681921,63.25,2.955221415,8.853013039,63,59
67,-74.70043182,132.2718603,2.207465396,62.42856979,1.342459559,1.916645885,63,64
68,-76.80018616,114.788552,5.605212097,39.8571434,16.87445641,4.01350069,63,19
69,-81.10157776,127.0998647,11.17424076,63.40000153,2.848558426,8.564128876,63,59
70,-90.37136841,194.5613159,0.312246924,54.78947449,7.375476837,0.860878646,63,31
71,-88.10992432,144.9027594,2.497869077,53.7142868,6.056510448,2.169645786,63,48
72,-82.17103577,158.6078208,7.114874152,62.73333359,2.463060379,6.569382668,63,61
73,-91.43224335,202.9183301,0.418130518,53.40000153,12.29634094,0.995761871,63,19
74,-81.26313782,139.8852953,4.874824111,39.20000076,17.37074661,4.314413548,63,18
75,-87.50583649,129.575794,0.752191217,41.375,16.22703552,1.820426583,63,43
76,-68.2988205,63.02336613,1.611369493,54.83333206,7.521081448,0.74970144,63,48
77,-70.38002014,205.3388097,3.837356853,35.45833206,17.11337852,4.223734856,63,52
78,-57.02033997,55.7165914,3.869521456,59.79999924,5.019959927,1.486562014,63,51
79,-88.07299042,169.1635183,2.383622955,44.41176605,14.80311966,2.386119604,63,19
80,-90.14894104,173.4676202,3.099817444,58.66666794,7.267015934,3.219726086,63,40
81,-66.10733795,98.94405496,0.217011325,44.44444275,18.37192917,0.837568462,63,56
82,-86.49663544,118.6232278,7.210518594,57.8571434,4.817550182,5.306757927,63,59
83,-88.41457367,209.9005117,9.52290045,62.17391205,3.069678307,11.33445835,63,57
84,-91.86064148,218.3926013,0.324034877,51.57143021,14.13708401,0.865224242,63,19
85,-82.97900391,149.2806167,1.743074108,42.73333359,15.68651199,1.719113827,63,50
86,-78.93457031,105.7761841,0.291796849,54.27272797,5.605192184,0.450639963,63,51
87,-85.07077026,139.3657268,1.826452772,48.58333206,17.36484528,2.108087778,63,61
88,-88.58461761,150.7976715,4.584947486,37.875,17.59876823,4.285941601,63,18
89,-90.30870056,214.0867933,2.984403597,35.33333206,11.6847477,7.516983986,45,38
90,-90.08726501,362.8847431,2.838126212,36.54285812,7.551169872,11.63542366,45,37
91,-86.95608521,154.4325296,5.991250369,46.05882263,1.919328928,5.141485214,45,50
92,-80.51651001,164.6101089,7.314271214,34.1875,9.710603714,7.776792049,45,38
93,-75.67715454,127.0536125,1.383503824,44.41176605,3.501050234,0.74778831,45,36
94,-84.80488586,178.869263,10.5974794,33.93333435,13.47731781,13.51066971,45,49
95,-88.96608734,186.3239359,6.457857872,34.11764526,10.04292297,7.697606087,45,26
96,-91.91770172,268.6795957,0.776645424,39.04347992,15.58401966,11.58753777,45,44
97,-75.86619568,119.2884482,15.98610299,26.60000038,9.743373871,12.41832066,45,21
98,-77.04129791,66.59642704,0.127497246,37.44444275,11.23733902,0.389048129,45,19
99,-62.08294678,81.41801662,11.15396495,45.5,0.534522474,5.543598652,45,46
100,-84.47538757,240.6092453,2.903193654,32.59090805,11.99467754,4.651428223,45,41
101,-78.72171783,238.8856691,0.832170845,45.68421173,8.035011292,1.152266979,45,59
102,-89.03771973,161.2412995,1.997988192,46.13333511,3.719959021,1.803758979,45,51
103,-78.08291626,140.4276017,0.469076577,40.30769348,5.498251438,0.597469866,45,51
104,-79.41256714,293.2604741,1.396955524,42.89655304,5.942250729,12.33372784,39,41
105,-89.07925415,167.1188011,8.639982109,45.58823395,7.83468914,8.534212112,39,52
106,-76.83226776,120.6292946,1.137182844,45.26666641,5.243590355,1.029700279,39,51
107,-90.87870026,356.2956577,3.792277478,46.20000076,9.661323547,15.74901199,39,17
108,-72.86573029,68.70712041,20.81333967,38.7142868,0.755928934,8.790902138,39,38
109,-84.26067352,106.8562387,19.28410807,46,4.898979664,11.77175808,39,46
110,-86.79276276,322.2584476,4.45634267,40.53333282,12.15342522,13.57604313,39,35
111,-89.22903442,185.570442,2.652575976,44.375,5.045984268,3.319381237,39,36
112,-66.76428223,44.70008979,22.97634937,38.66666794,0.516397774,6.769979,39,38
113,-83.02687836,139.3640745,4.994401043,51.91666794,8.2732687,6.071082592,39,57
114,-85.09661102,145.01168,11.70845894,41.91666794,10.53529453,10.4515667,39,52
115,-80.40259552,127.5108184,22.15660361,44.40000153,8.720346451,16.18312454,39,39
116,-74.65359497,101.4200465,8.42087136,49.11111069,8.652231216,5.488328457,39,60
117,-80.46700287,247.7090275,1.311300648,43.875,8.870938301,2.609806061,39,19
118,-81.41552734,187.8581447,6.856924532,20.29411697,9.668019295,7.193935871,16,34
119,-73.05593109,69.51697175,4.661580604,11.33333302,7.858116627,1.820071816,16,0
120,-90.46134186,236.701526,10.42712124,34.89655304,17.98083305,13.25687122,16,64
121,-91.43321228,202.3614206,7.198275182,22.44444466,11.99128246,8.09667778,16,34
122,-91.60892487,173.7793469,8.013701529,28.90909004,15.07728958,7.587921619,16,58
123,-85.45326996,265.750654,3.757265434,22.5,10.45118523,5.405897141,16,47
124,-94.14822388,36.63469575,2.949029843,17.5,1,0.833082199,16,18
125,-72.1646347,235.5097785,3.633878244,20.12903214,7.36994791,5.035309315,16,47
126,-89.52402496,175.3154148,8.041812958,25.7142849,11.73517323,7.747312546,16,52
127,-91.15097809,140.2783419,6.907208454,23.44444466,10.10662079,5.408986568,16,49
128,-65.97070313,35.46556131,3.816639081,17.60000038,0.89442718,0.973693371,16,18
129,-74.06476593,142.0091753,0.482863888,39.2857132,7.140658855,1.295535684,37,41
130,-70.83726501,154.3180804,10.87482382,41.33333206,4.450788975,9.591742516,37,38
131,-91.17841339,362.8847431,2.838126212,36.54285812,7.551169872,11.63542366,37,45
132,-91.527565,542.2250989,1.254829054,34.73584747,9.729319572,14.60332394,37,33
133,-92.30177307,216.9022697,0.480527495,41.27272797,5.840595245,2.503514767,37,44
134,-84.68334198,143.5430649,1.330210338,40.86666489,6.523218632,1.471530199,37,41
135,-92.42156219,397.1468051,2.150161863,38.5,11.66255379,6.752765179,37,36
136,-85.60140228,227.5370824,12.91701031,50.09090805,5.731359959,16.61537552,37,49
137,-89.20124054,130.3413242,1.278394269,42.88235474,3.672232866,0.790194392,37,45
138,-69.36529541,66.92837647,8.524880113,36.7142868,0.487950027,3.638720751,37,37
139,-76.1856842,142.3104806,8.734158855,46.07692337,3.569816589,6.961187363,37,44
140,-90.31629944,270.7062147,10.82052854,42.84615326,10.64215088,18.6502552,37,21
141,-92.52939606,362.0136182,2.821478077,36.57575607,10.04685974,8.477228165,37,19
142,-83.46782684,66.83312758,6.88571067,59.42856979,0.786795795,2.709680319,60,59
143,-91.67512512,118.7765282,19.67845303,60,1.906925201,13.0695343,60,59
144,-89.75261688,118.840279,3.025334525,59.53845978,1.560736179,1.968560815,60,59
145,-81.66003418,80.64663307,9.394947575,60.5,0.534522474,4.579554558,60,61
146,-72.78034973,47.74920072,13.22933101,60.20000076,0.44721359,4.191413879,60,61
147,-64.56255341,110.4650253,0.753979005,37.09999847,4.012480736,0.562889874,38,26
148,-80.21910858,170.9004977,3.143885608,42.5,4.898979664,3.353507519,38,50
149,-85.70980835,213.3187829,5.217412667,37.84615326,8.96969223,5.813784122,38,33
150,-80.08007813,105.7330492,0.041012256,43.45454407,4.987256527,0.551842272,38,50
151,-79.2016449,178.8445931,1.453066957,32.38095093,5.936970711,1.843053937,38,38
152,-63.88343811,49.73503484,2.207835622,40,3.098386765,0.730048716,38,44
153,-78.64559174,150.2331317,1.730063006,31.88235283,4.060208797,1.65766108,38,26
154,-56.20003891,46.88600048,2.122019965,39.16666794,1.471960187,0.707758486,38,41
155,-67.42328644,50.24662932,1.556677594,48,4.070801735,0.710352659,38,50
156,-83.76785278,239.8200361,2.328103491,30.5,8.404930115,3.072107792,38,46
157,-83.13680267,66.83312758,6.88571067,59.42856979,0.786795795,2.709680319,59,60
158,-90.39208984,112.0723355,6.579180488,58.66666794,5.033223152,3.996941328,59,43
159,-80.71134186,71.57687538,1.393353686,57.40000153,2.065591097,0.550035655,59,59
160,-90.85953522,127.3015025,5.188991769,53.90909195,9.417585373,3.699335814,59,31
161,-90.13672638,146.9107661,8.288083996,60,0.877058029,7.137905598,59,61
162,-85.08924866,114.3300843,9.535587331,60.27272797,1.348399758,6.445218563,59,61
163,-89.82333374,198.6194428,10.65845439,61.42105103,2.168352842,12.79828644,59,61
164,-67.31238556,110.4650253,0.753979005,37.09999847,4.012480736,0.562889874,26,38
165,-80.67345428,88.48722678,2.88479031,45.5,9.133924484,1.746364355,26,52
166,-74.40341187,63.64964542,7.147172551,39.7142868,12.82853985,3.025481701,26,50
167,-86.8729248,144.4872892,7.134262917,25.38888931,4.460794926,5.28795433,26,33
168,-70.20744324,47.14022816,1.859083778,41.42856979,8.017837524,0.480533689,26,50
169,-70.8082428,93.69331142,1.884779724,24.76922989,6.220314026,1.055339813,26,38
170,-81.28845215,164.7509596,7.312863136,40.375,9.171513557,6.982347965,26,36
171,-78.90432739,71.22298715,2.711731412,40.33333206,5.766281128,1.15193522,26,44
172,-77.97384644,71.66632243,2.464781979,23.22222137,4.711098194,1.026103973,26,26
173,-80.5184021,104.9011875,0.154282321,34.27272797,4.941475868,0.29599005,26,41
174,-88.29228973,109.0539442,0.069008675,46.63636398,8.880007744,0.598237097,26,52
175,-92.89290619,142.792014,0.0355603,44.75,7.132087231,1.537404895,26,50
